Timestamp,Average Viewers,Live Views,New Followers,Chatters,Chat Messages,Clips Created,Clip Views
9:39 PM,25,0,0,5,9,0,0
9:40 PM,26,0,0,2,8,0,0
9:41 PM,26,0,0,2,5,0,0
9:42 PM,25,1,0,4,11,0,0
9:43 PM,26,0,0,6,15,0,0
9:44 PM,27,2,0,1,7,0,0
9:45 PM,28,1,0,3,13,0,0
9:46 PM,29,0,0,1,1,0,0
9:47 PM,26,2,0,2,2,0,0
9:48 PM,28,0,0,4,4,0,0
9:49 PM,29,0,0,3,6,0,0
9:50 PM,32,3,0,3,5,0,0
9:51 PM,31,2,0,5,7,0,0
9:52 PM,28,0,0,1,1,0,0
9:53 PM,30,0,0,3,4,0,0
9:54 PM,27,2,0,2,2,0,0
9:55 PM,31,1,0,4,5,0,0
9:56 PM,28,2,0,2,2,0,0
9:57 PM,25,0,0,3,5,0,0
9:58 PM,26,0,0,1,1,0,0
9:59 PM,25,1,0,3,3,0,0
10:00 PM,23,0,0,2,4,0,0
10:01 PM,26,0,0,3,4,0,0
10:02 PM,27,3,0,5,10,0,0
10:03 PM,28,0,0,6,12,0,0
10:04 PM,28,2,0,6,9,0,0
10:05 PM,30,2,0,8,16,0,0
10:06 PM,30,2,0,4,5,0,0
10:07 PM,27,1,0,3,6,0,0
10:08 PM,28,1,0,7,13,0,0
10:09 PM,28,1,0,6,10,0,0
10:10 PM,28,0,0,6,13,0,0
10:11 PM,28,0,0,7,14,0,0
10:12 PM,27,0,0,3,4,0,0
10:13 PM,28,0,0,2,2,0,0
10:14 PM,29,2,0,4,6,0,0
10:15 PM,29,5,0,4,5,0,0
10:16 PM,30,1,0,4,5,0,0
10:17 PM,28,0,0,4,7,0,0
10:18 PM,30,2,0,4,7,0,0
10:19 PM,28,5,0,5,6,0,0
10:20 PM,27,0,0,3,4,0,0
10:21 PM,26,2,0,3,4,0,0
10:22 PM,29,1,0,2,8,0,0
10:23 PM,28,0,0,5,10,0,0
10:24 PM,26,0,0,5,7,0,0
10:25 PM,27,1,0,5,6,0,0
10:26 PM,29,2,0,4,6,0,0
10:27 PM,31,1,0,3,4,0,0
10:28 PM,31,1,0,3,3,0,0
10:29 PM,33,2,0,3,7,0,0
10:30 PM,31,1,0,2,3,0,0
10:31 PM,31,3,0,2,6,0,0
10:32 PM,32,5,0,3,6,0,0
10:33 PM,32,0,0,5,9,0,0
10:34 PM,32,0,0,3,6,0,0
10:35 PM,29,2,0,4,6,0,0
10:36 PM,32,4,0,5,6,0,0
10:37 PM,32,1,0,6,11,0,0
10:38 PM,32,1,0,6,11,0,0
10:39 PM,32,1,0,13,16,0,0
10:40 PM,30,1,0,4,9,0,0
